Site,Account,Password,Category
google,haha@gmail.com,43n0j34u,Search Engines
pighubi,fusan,123456,Games
oh,my,god,Others
nnn,nooooooooo,sJBdbsaHaL,Streaming
data,my,4AW!M2bZSo@9%o&,Others
ntust,b10105066,6QaeYq%F,Social Media
ka,waii,9nr6jr5ub1h7,Games
yahoo,kimojii,EBDWMM8FED,Search Engines
ba,ga,me$e5VvAQ5jugv*,Others
11,22,33,Games
33,44,55,Others
earth,human,OxfpmT$mFSw*cA2uuZ!9,Social Media
moon,moonMan,rpjpfo85x,Social Media
lifeOnline,jack,nV%e&4oxs!nrZk!EeBuzb@,Social Media
tookoFanClub,fan,9YNZdVTd#jQWSUU,Streaming
mihayo,gomige-,949852726,Games
koro,kamige-,hOO4A&1YosmA1%e4g!hRA,Games
twitch,paradise,R2osbP.@s2PKSVf,Streaming
steam,mikey,sj4Wi#0.AIGF,Games
final,end,FiV7nK90ik5I,Others
,身分證字號,G12345666,Others
